category,path,message,detail
caracteres_interdits,Suivi Affiliés Plugins (RSS/Promos),Caractère interdit: '/',"{""char"": ""/""}"
caracteres_interdits,06_CONTENUS/01_Idees_&_Backlog,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,04_ASSETS/04_PDF_&_Documents,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,04_ASSETS/01_Logos_&_Branding,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,00_START-HERE/03_Onboarding collaborateur/Accès & outils,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,00_START-HERE/03_Onboarding collaborateur/README – Bienvenue & règles,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,00_START-HERE/02_Conventions de nommage/📘 Nomenclature & règles de nommage du Drive,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,00_START-HERE/01_Templates/01_Briefs/Brief - Video / YouTube (Doc),Caractère interdit: '/',"{""char"": ""/""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/PROMPTS/2026-02-02 – PROMPT SEO - Audit Contenu & Mismatch SERP – Note,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,"99_ARCHIVES/À trier plus tard/🩺 MICHAËL KIHL/2025//2025_Imagerie (pour Échographie, IRM, Scanner, etc.)",Caractère interdit: '/',"{""char"": ""/""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/🩺 MICHAËL KIHL/2025//2025_Neurologie,Caractère interdit: '/',"{""char"": ""/""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/🩺 MICHAËL KIHL/2025//2025_Cardiologie,Caractère interdit: '/',"{""char"": ""/""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/🩺 MICHAËL KIHL/2024/IRM/20240607_CR d'imagerie médicale_KIHL_MICHAEL_022406070007.pdf,Caractère interdit: ''',"{""char"": ""'""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Gestion des Outils & Abonnements,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/https://schoolswp.com/-Performance-on-Search-2025-10-24,Caractère interdit: '/',"{""char"": ""/""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/https://schoolswp.com/-Performance-on-Search-2025-10-24,Caractère interdit: ':',"{""char"": "":""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Black Friday Deals & Discounts,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Formation TBL - Informations SEO & WordPress by Cyril Jouault,Caractère interdit: '&',"{""char"": ""&""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Modèle de Suivi des Positions >> Créer une Copie pour Éditer <<,Caractère interdit: '<',"{""char"": ""<""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Modèle de Suivi des Positions >> Créer une Copie pour Éditer <<,Caractère interdit: '>',"{""char"": "">""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Générateur de Stratégie de Contenu  >> Créer une Copie pour Éditer <<,Caractère interdit: '<',"{""char"": ""<""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Générateur de Stratégie de Contenu  >> Créer une Copie pour Éditer <<,Caractère interdit: '>',"{""char"": "">""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Checklist de pré-rédaction de contenu >> Créer une Copie pour Éditer <<,Caractère interdit: '<',"{""char"": ""<""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Checklist de pré-rédaction de contenu >> Créer une Copie pour Éditer <<,Caractère interdit: '>',"{""char"": "">""}"
caracteres_interdits,99_ARCHIVES/À trier plus tard/Modèle de Stratégie de Contenu >> Créer une Copie pour Éditer <<,Caractère interdit: '<',"{""char"": ""<""}"
