path,name,type,size,depth,mimeType,modified
00_START-HERE,00_START-HERE,folder,0,0,application/vnd.google-apps.folder,2025-12-27T16:38:23.272Z
00_START-HERE/00_README - Organisation du Drive,00_README - Organisation du Drive,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:00:42.322Z
00_START-HERE/00_README - Organisation du Drive/📘 README — Organisation du Google Drive,📘 README — Organisation du Google Drive,file,3792,2,application/vnd.google-apps.document,2025-12-27T17:23:31.727Z
00_START-HERE/01_Templates,01_Templates,folder,0,1,application/vnd.google-apps.folder,2025-12-27T16:42:08.577Z
00_START-HERE/01_Templates/01_Briefs,01_Briefs,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:47:43.307Z
00_START-HERE/01_Templates/01_Briefs/Brief - Article (Doc),Brief - Article (Doc),folder,0,3,application/vnd.google-apps.folder,2025-12-27T17:10:05.394Z
00_START-HERE/01_Templates/01_Briefs/Brief - Video / YouTube (Doc),Brief - Video / YouTube (Doc),folder,0,3,application/vnd.google-apps.folder,2025-12-27T17:10:17.787Z
00_START-HERE/01_Templates/02_Checklists,02_Checklists,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:48:32.879Z
00_START-HERE/01_Templates/02_Checklists/Checklist - Publication (Doc),Checklist - Publication (Doc),folder,0,3,application/vnd.google-apps.folder,2025-12-27T17:10:27.878Z
00_START-HERE/01_Templates/03_SOP,03_SOP,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:48:53.591Z
00_START-HERE/01_Templates/03_SOP/SOP - Rédaction schoolsWP (Doc),SOP - Rédaction schoolsWP (Doc),folder,0,3,application/vnd.google-apps.folder,2025-12-27T17:10:39.296Z
00_START-HERE/01_Templates/04_Projet_Template,04_Projet_Template,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:49:37.619Z
00_START-HERE/01_Templates/05_Client_Template,05_Client_Template,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:50:56.598Z
00_START-HERE/02_Conventions de nommage,02_Conventions de nommage,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:00:21.398Z
00_START-HERE/02_Conventions de nommage/📘 Nomenclature & règles de nommage du Drive,📘 Nomenclature & règles de nommage du Drive,file,9730,2,application/vnd.google-apps.document,2025-12-27T21:44:29.822Z
00_START-HERE/03_Onboarding collaborateur,03_Onboarding collaborateur,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:01:32.689Z
00_START-HERE/03_Onboarding collaborateur/Accès & outils,Accès & outils,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:52:33.688Z
00_START-HERE/03_Onboarding collaborateur/Checklists collaborateur,Checklists collaborateur,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:53:19.945Z
00_START-HERE/03_Onboarding collaborateur/Process de travail,Process de travail,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:52:56.597Z
00_START-HERE/03_Onboarding collaborateur/README – Bienvenue & règles,README – Bienvenue & règles,folder,0,2,application/vnd.google-apps.folder,2025-12-27T20:52:06.863Z
01_ADMIN,01_ADMIN,folder,0,0,application/vnd.google-apps.folder,2025-12-27T17:12:49.561Z
01_ADMIN/01_Identité,01_Identité,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:29:36.954Z
01_ADMIN/02_Administratif,02_Administratif,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:30:04.612Z
01_ADMIN/03_Banque,03_Banque,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:31:39.881Z
01_ADMIN/03_Banque/01_Releves,01_Releves,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:40:43.300Z
01_ADMIN/03_Banque/02_Justificatifs,02_Justificatifs,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:41:45.156Z
01_ADMIN/03_Banque/99_Archives,99_Archives,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:42:07.045Z
01_ADMIN/04_Factures,04_Factures,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:31:55.113Z
01_ADMIN/04_Factures/01_Emises,01_Emises,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:36:37.864Z
01_ADMIN/04_Factures/02_Recues,02_Recues,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:37:12.196Z
01_ADMIN/04_Factures/99_Archives,99_Archives,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:37:21.858Z
01_ADMIN/05_Contrats,05_Contrats,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:32:19.865Z
01_ADMIN/05_Contrats/01_Clients,01_Clients,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:57:42.720Z
01_ADMIN/05_Contrats/02_Prestataires,02_Prestataires,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:57:54.773Z
01_ADMIN/05_Contrats/03_Partenaires,03_Partenaires,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:58:41.948Z
01_ADMIN/05_Contrats/99_Archives,99_Archives,folder,0,2,application/vnd.google-apps.folder,2025-12-27T17:58:53.456Z
01_ADMIN/06_Impots,06_Impots,folder,0,1,application/vnd.google-apps.folder,2025-12-27T17:33:07.465Z
02_PROJETS,02_PROJETS,folder,0,0,application/vnd.google-apps.folder,2025-12-27T15:39:53.019Z
02_PROJETS/Maé KIHL,Maé KIHL,folder,0,1,application/vnd.google-apps.folder,2025-12-27T16:00:16.756Z
02_PROJETS/Michaël KIHL,Michaël KIHL,folder,0,1,application/vnd.google-apps.folder,2025-12-27T16:00:02.021Z
02_PROJETS/Mon Mini Electro,Mon Mini Electro,folder,0,1,application/vnd.google-apps.folder,2025-12-27T15:56:43.152Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808","Jan 21, 2026 1808",folder,0,2,application/vnd.google-apps.folder,2026-01-21T17:33:53.493Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Autres",Autres,folder,0,3,application/vnd.google-apps.folder,2026-01-21T17:40:30.420Z
