status,type,old_name,new_name,path,corrections,id
RENAMED,fichier,Suivi Affiliés Plugins (RSS/Promos),Suivi Affiliés Plugins (RSS-Promos),(racine),slash_remplace,1-7QoxRQIAoUfb26zO-wOhMAMZPk_dl8-uGQ48NYCoko
RENAMED,fichier,📘 README – Organisation des contenus (06_CONTENUS),README – Organisation des contenus (06_CONTENUS),06_CONTENUS,emoji_supprime|espaces_parasites,1QJiyuzP2wvcIlfYVutJDZrYumX1nngJuu20uRR7MdRs
RENAMED,dossier,01_Idees_&_Backlog,01_Idees_ et _Backlog,06_CONTENUS,ampersand_remplace,15t2hCj689UfwGShl7IZ8nFVyqUhsJp19
RENAMED,dossier,04_PDF_&_Documents,04_PDF_ et _Documents,04_ASSETS,ampersand_remplace,1D96C81arI8w8XPbpg1fz-DEuziZe98o9
RENAMED,dossier,01_Logos_&_Branding,01_Logos_ et _Branding,04_ASSETS,ampersand_remplace,1wqu5R2fH4_Zdlp9tVVmbO0cDZmm5Ty0u
RENAMED,dossier,Accès & outils,Accès et outils,00_START-HERE/03_Onboarding collaborateur,ampersand_remplace,1ev69RQrvf8AcqYIJCFcMfpqJXxJZHMpg
RENAMED,dossier,README – Bienvenue & règles,README – Bienvenue et règles,00_START-HERE/03_Onboarding collaborateur,ampersand_remplace,1j1agyZhD56OVqOVZGIEOa-BDstzfX7YB
RENAMED,fichier,📘 README — Organisation du Google Drive,README — Organisation du Google Drive,00_START-HERE/00_README - Organisation du Drive,emoji_supprime|espaces_parasites,1MzWDbdfusaUwzCAwVRjc044_p1UxiKINqUrefwkdYlw
RENAMED,fichier,📘 Nomenclature & règles de nommage du Drive,Nomenclature et règles de nommage du Drive,00_START-HERE/02_Conventions de nommage,emoji_supprime|ampersand_remplace|espaces_parasites,1dwdf6wUAMqMx_RxjDINfyzTwnCAc-KVScFDwJVzKezo
RENAMED,dossier,Brief - Video / YouTube (Doc),Brief - Video - YouTube (Doc),00_START-HERE/01_Templates/01_Briefs,slash_remplace,1AZ6Dhdt5PA6lWZdPZ14l4ZiZWkN1d-aC
