keyword,volume_dfs,volume_uber,uber_seo_difficulty,dfs_keyword_difficulty,dfs_competition_level,cpc_eur_dfs,cpc_usd_uber,intent,trend_quarterly_dfs,trend_yearly_dfs,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04
avis booknetic,0,0,17,,,,0,informational,,,,,,,,,,,,,,
booknetic avis,0,,,,,,,,,,,,,,,,,,,,,
booknetic,90,90,13,,LOW,1.38,3.44,navigational/informational,-44,-55,110,70,90,90,110,110,90,70,70,90,50,50
booknetic wordpress,10,10,18,,,,,navigational,,,,,,,,,,,,,,
booknetic alternative,10,,,,,,,informational,,,,,,,,,,,,,,
amelia booknetic,0,,,,,,,,,,,,,,,,,,,,,
plugin rendez-vous wordpress,10,,,49,HIGH,0.08,,navigational,,,,,,,,,,,,,,
plugin prise de rendez-vous wordpress,10,,,,LOW,0.26,,navigational,,,,,,,,,,,,,,
bookingpress,110,,,19,LOW,0.71,,navigational,56,-18,140,140,140,110,110,140,140,70,90,90,140,140
booknetic codecanyon,,10,18,,,,,navigational/transactional,,,,,,,,,,,,,,
booknetic pricing,,10,18,,,,,commercial,,,,,,,,,,,,,,
booknetic free,,10,18,,,,,informational,,,,,,,,,,,,,,
booknetic nulled,,10,18,,,,,informational,,,,,,,,,,,,,,
booknetic google calendar,,10,13,,,,,navigational,,,,,,,,,,,,,,
booknetic elementor,,10,18,,,,,navigational,,,,,,,,,,,,,,
