keyword,search_volume_fr,competition,cpc_eur,kd,main_intent,trend_quarterly,trend_yearly,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04
linkuma,2900,0.02,6.92,18,informational,26,,2400,2400,2400,1900,3600,14800,2900,1900,2400,1900,1600,2400
linkuma avis,1600,0,2.5,23,informational,126,,720,480,260,170,2400,8100,2400,1900,1000,390,70,880
linkuma prix,480,0.29,,23,commercial,,,10,10,10,30,10,720,2900,1600,320,10,10,10
linkuma review,390,0,,16,commercial,,,10,,10,,10,390,1900,1900,480,10,10,10
linkuma annecy,170,0.01,,1,navigational,177,7100,10,10,10,90,20,480,10,10,480,260,10,720
avis linkuma,170,0,,20,informational,40,-92,720,590,70,30,40,40,50,30,70,50,70,70
linkuma recrutement,140,0,,11,navigational,177,,,,,,,,,,880,260,10,720
linkuma tarif,110,0.12,,5,informational,,-75,30,20,20,20,20,1300,10,10,10,10,,10
linkuma code promo,70,0.04,,,commercial,-93,-95,210,140,70,50,40,10,20,10,90,140,20,10
code promo linkuma,50,0.08,,,commercial,-40,-73,90,50,50,50,40,30,50,30,30,50,70,30
avis sur linkuma,20,0.03,,23,informational,,-50,30,20,30,20,20,20,10,20,10,20,30,20
linkuma affiliation,10,0.17,4.39,,informational,,-50,20,10,20,10,10,10,10,10,10,10,10,10
plateforme backlinks linkuma,10,,,,navigational,,,,,,10,,10,,10,,,,
veronika linkuma,10,,,,informational,-100,,,,,,10,,10,,,10,,
