date_snapshot,mot_cle,marche,volume_mensuel,tendance_an_pct,kd,cpc_usd,concurrence,intention,vol_ubersuggest,sd_ubersuggest,position_schoolswp,page_qui_ranke,notes
2026-06-21,easycommerce vs fluentcart,FR,0,n/d,n/d,n/d,n/d,commercial (0.89),,,n/a (brouillon),-,MOT-CLE CIBLE / 0 volume mesurable FR & US / terme tout neuf
2026-06-21,easycommerce vs fluentcart,US,0,n/d,n/d,n/d,n/d,commercial,,,n/a,-,absent de la base DataForSEO = ~0 volume global
2026-06-21,fluentcart,FR,70,+300,n/d,n/d (bid 2.3-8.72),LOW (0.08),navigational,,,~7,/avis-fluentcart-wordpress/,terme en croissance / deja page 1
2026-06-21,fluentcart,US,260,+1600,7,0.83,LOW (0.25),navigational,,,n/a,-,KD 7 tres facile / pic 590 en oct-2025
2026-06-21,easycommerce,US,70,+175,n/d,23.06,LOW (0.13),navigational+commercial,,,n/a,-,CPC eleve 23$ / terme ambigu (easy commerce)
2026-06-21,easycommerce,FR,n/d,n/d,n/d,n/d,n/d,n/d,,,n/a,-,aucune donnee FR
2026-06-21,fluentcart vs woocommerce,US,10,n/d,n/d,n/d,LOW (0.09),commercial,,,n/a,-,longue traine
2026-06-21,fluentcart vs surecart,US,10,n/d,n/d,n/d,LOW (0),commercial,,,n/a,-,longue traine / concurrent direct du sujet
2026-06-21,easycommerce avis,FR,n/d,n/d,n/d,n/d,n/d,n/d,,,n/a,-,aucune donnee
2026-06-21,fluentcart avis,FR,n/d,n/d,n/d,n/d,n/d,n/d,,,n/a,-,aucune donnee
