Keyword,Marche,Search Volume,Competition,Competition Index,CPC USD,Keyword Difficulty,Search Intent,Trend Yearly %,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04
fluentcrm vs groundhogg,FR,0,,,,,,,,,,,,,,,,,,
groundhogg vs fluentcrm,FR,0,,,,,,,,,,,,,,,,,,
fluentcrm avis,FR,0,,,,,,,,,,,,,,,,,,
groundhogg avis,FR,0,,,,,,,,,,,,,,,,,,
crm wordpress,FR,320,MEDIUM,35,6.71,,commercial,-93,1300,880,170,110,480,170,210,140,140,170,170,110
hubspot wordpress,FR,70,LOW,1,,46,navigational,-79,110,70,70,40,170,90,50,30,40,40,90,30
wp erp,FR,40,MEDIUM,41,6.47,13,commercial,-57,50,50,40,40,50,50,40,30,40,30,20,30
jetpack crm,FR,30,LOW,13,8.86,62,transactional,-67,30,20,20,20,30,40,30,40,20,20,30,10
crm woocommerce,FR,20,MEDIUM,47,3.52,35,commercial,-67,30,10,20,10,20,20,10,10,10,30,30,10
crm wordpress gratuit,FR,10,HIGH,81,6.54,,commercial,,10,10,10,10,,10,10,10,10,10,10,10
crm wordpress plugin,FR,10,MEDIUM,65,6.70,57,commercial,-50,20,10,10,10,20,10,10,20,20,20,10,10
fluentcrm,US-EN,1000,MEDIUM,39,3.37,,commercial,,1000,1000,1000,1000,880,1000,1300,1000,880,880,880,880
wordpress crm,US-EN,590,MEDIUM,39,13.96,19,commercial,,1000,880,590,590,720,590,480,390,590,390,720,320
groundhogg,US-EN,170,LOW,12,0.04,,navigational,,210,170,210,170,140,170,140,140,170,390,140,140
best wordpress crm,US-EN,70,LOW,30,,20,commercial,,170,110,70,40,70,50,30,20,30,30,170,40
fluentcrm review,US-EN,20,LOW,1,,43,informational,,10,10,10,10,10,30,10,10,10,10,10,90
groundhogg review,US-EN,0,,,,47,,,,,,,,,,,,,,
