"Marché","Mot-clé","Volume/mois (DataForSEO)","Volume/mois (Ubersuggest)","Difficulté KD (DataForSEO)","Difficulté SD (Ubersuggest)","Intention","CPC","Tendance 12 mois","Rôle / Note"
"France","fluentcrm vs surecontact","0","0","","12","","","","Mot-clé cible exact - 0 demande (angle/titre, pas SEO)"
"France","surecontact","0","20","","32","Émergente","","Pic à 70 en janv. 2026","Terme émergent - pari first-mover"
"France","surecontact avis","0","","","","","","","Longue traîne (absent des bases)"
"France","surecontact wordpress","0","","","","","","","Longue traîne (absent des bases)"
"France","fluentcrm","260","260","8","12","Commerciale","0,14 EUR (DFS) / 4,15 EUR (Uber)","Base stable ~170-260","Marque - volume principal"
"France","fluentcrm avis","0","","","","","","","Absent des bases"
"France","surecart","260","320","11","12","Navigationnelle","9,06 EUR","Base stable ~210-320","Marque - volume principal"
"France","surecart avis","0","","","","","","","Absent des bases"
"France","fluentcart","70","0","","22","Navigationnelle","","+300% (en hausse)","Marque - en croissance"
"France","fluentcart avis","0","","","","","","","Absent des bases"
"France","crm wordpress","260","","","","Commerciale","5,51 EUR","Base ~140-210","Tête de cluster (head term)"
"France","fluentcrm surecart","0","","","","","","","Absent des bases"
"France","fluentcrm prix","0","","","","","","","Absent des bases"
"France","fluentcrm pro","10","10","","25","Commerciale","","Stable","Longue traîne"
"France","fluentcrm pricing","10","","","","Commerciale","","","Longue traîne"
"France","surecart vs woocommerce","90","","","","Commerciale","","En baisse","Comparatif (demande déclinante)"
"France","surecart ou woocommerce","10","","","","Navigationnelle","","","Comparatif FR"
"France","woocommerce vs surecart","10","","","","Commerciale","","","Comparatif"
"France","surecart support","30","","6","","Navigationnelle","","","Longue traîne"
"France","surecart wordpress plugin","20","20","14","13","Navigationnelle","","","Longue traîne"
"France","surecart wordpress","10","10","","21","Navigationnelle","","En hausse","Longue traîne"
"France","surecart wp","10","10","","21","Navigationnelle","","En hausse","Longue traîne"
"États-Unis","fluentcrm","1000","","46","","Commerciale","6,89 USD","-12% (marché mûr)","Marché US mûr et compétitif"
"États-Unis","surecart","590","","16","","Navigationnelle","127 USD","Stable","CPC très élevé = forte intention d'achat"
"États-Unis","fluentcart","210","","7","","Navigationnelle","1,07 USD","+1600% (explose)","Étoile montante du quatuor"
"États-Unis","surecart vs fluentcart","10","","","","Commerciale","","Stable","Seule comparaison 'vs' avec un signal"
"États-Unis","fluentcrm vs surecontact","0","","","","","","","Inexistant même en anglais"
"États-Unis","surecontact","0","","","","","","","Trop récent pour les bases"
"États-Unis","surecontact vs fluentcrm","0","","","","","","","Inexistant"
"États-Unis","surecontact review","0","","","","","","","Inexistant"
"États-Unis","fluentcrm vs surecart","0","","","","","","","Inexistant"
