Mot-cle,Volume FR (DataForSEO),Volume FR (Ubersuggest),Concurrence Ads (DFS),CPC EUR (DFS),CPC EUR (Uber),KD (DFS),SD (Uber),Intention (DFS),Tendance an %,Tendance trim %
paystack,390,390,LOW,5.31,5.31,13,15,informational,23,0
fluentcart,70,70,,,,,10,informational,,
paystack wordpress,10,10,,,,,8,informational,,
paystack integration,10,10,,,,,8,informational,,
paystack woocommerce,10,10,,,,,8,informational,,
paystack shopify,10,10,,,,,8,informational,,
paystack fluentcart,0,0,,,,,5,commercial,,
fluentcart wordpress,0,0,,,,,5,commercial,,
paystack afrique,0,0,,,,,5,informational,,
mobile money wordpress,0,0,,,,,7,informational,,
