keyword,location,volume_actuel,low_top_bid,high_top_bid,cpc,competition,competition_level,keyword_difficulty,intent,intent_probability,trend_monthly_pct,trend_quarterly_pct,trend_yearly_pct,volumes_12_mois
ottokit,United States,390,9.02,30.88,16.75,0.05,LOW,16,transactional,,23,,3100,"320,480,320,320,390,390,480,590,390,320,260,320"
ottokit pricing,United States,20,,,,0.01,LOW,,commercial,0.995,,100,,"10,10,20,20,20,30,30,30,10,20,20,20"
ottokit pro,United States,10,,,,0.00,LOW,,commercial,0.95,,,,"10,20,10,20,20,10,20,10,10,10,10,10"
ottokit free vs pro,United States,,,,,,,,commercial,0.913,,,,
ottokit review,United States,10,,,,0.00,LOW,,commercial,0.8,,,,"10,10,10,10,10,10,10"
ottokit reviews,United States,10,,,,0.00,LOW,,informational,,,,,"10,10,10,10,10"
ottokit alternative,United States,,,,,,,,commercial,0.876,,,,
ottokit ai,United States,10,,,,0.86,HIGH,,informational,,,,,"10,10,10,10,10,10,10"
ottokit wordpress,United States,10,,,,0.00,LOW,,navigational,,,,,"20,40,20,10,10,10,10,10,10,10"
ottokit wordpress automation,United States,10,,,,0.14,LOW,,navigational,,,,,"10,10,10,10,10,10,10,10"
ottokit wordpress plugin,United States,10,,,,0.07,LOW,,navigational,,,,,"10,20,10,10,10,10,10,10,10,10,10,10"
ottokit login,United States,10,,,,0.09,LOW,,navigational,,,-67,,"10,20,20,10,10,10,20,30,10,10"
ottokit integrations,United States,10,,,,0.00,LOW,,commercial,,,,,"10,10,10,10,10,10,10,10"
suretriggers,United States,,,,,,,,commercial,,,,,
