AUDIT VOLUME SEO - TablePress vs WP Table Builder
Source: DataForSEO (Google Ads Search Volume + Labs Keyword Overview) | Localisation: France | Langue: fr | Date d'extraction: 2026-05-14

SYNTHESE MOTS-CLES
Mot-cle,Volume FR (rech./mois),Concurrence,Indice concurrence (0-100),CPC (USD),Difficulte SEO (KD),Intention,Tendance annuelle,Langue detectee,Note
tablepress vs wp table builder,Aucune donnee,-,-,-,-,-,-,-,Volume nul/non mesurable en FR (mot-cle cible de l'article)
tablepress wp table builder,Aucune donnee,-,-,-,-,-,-,-,Volume nul/non mesurable en FR (focus keyword Rank Math actuel)
tablepress,110,LOW,17,"0,50",29,Transactionnelle,-47%,en,Mot-cle porteur mais en fort declin (-47%/an)
wp table builder,20,LOW,16,"1,06",53,Transactionnelle,-50%,en,"Faible volume, KD eleve (53), en declin"
plugin tableau wordpress,10,LOW,14,"0,76",48,Transactionnelle,-50%,fr,"Faible volume, KD 48"
creer tableau wordpress,10,LOW,0,-,-,Informationnelle,-,fr,"Faible volume, intention informationnelle"
tablepress avis,Aucune donnee,-,-,-,-,-,-,-,Non mesurable en FR
wp table builder avis,Aucune donnee,-,-,-,-,-,-,-,Non mesurable en FR
meilleur plugin tableau wordpress,Aucune donnee,-,-,-,-,-,-,-,Non mesurable en FR
tablepress vs ninja tables,Aucune donnee,-,-,-,-,-,-,-,Non mesurable en FR


VOLUME MENSUEL 12 MOIS (recherches/mois)
Mot-cle,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
tablepress,110,170,110,140,90,110,90,90,90,140,110,90
wp table builder,40,30,20,30,10,20,20,10,10,20,10,20
plugin tableau wordpress,20,10,10,10,10,10,10,10,10,10,10,10
creer tableau wordpress,,10,10,,10,10,,10,10,,,10
