priorite;expediteur;nb_mails;dernier_mail;dernier_sujet;action_suggeree
🔴 CRITIQUE;support@o2switch.fr;3;2026-04-10;Code de transfert pour petit-papier-magique.fr;Changer email du compte → michaelkihlpro@gmail.com
🔴 CRITIQUE;nepasrepondre@creditmutuel.fr;1;2026-04-13;Avis d'ordre de virement externe;Changer email du compte → michaelkihlpro@gmail.com
🔴 CRITIQUE;assurance-maladie@info.ameli.fr;1;2026-04-11;Un rdv chez le chirurgien-dentiste offert pour votre enfant;Changer email du compte → michaelkihlpro@gmail.com
🟡 IMPORTANT;support@ottokit.com;3;2026-02-11;[#1338875] Re: Invitation: SureContact Affiliate Program @ Tue, Feb 9, 2026 | 20;Changer email sous 3 mois
🟡 IMPORTANT;melvyn@melvynx.com;1;2026-04-08;Tu ne valorises plus ton temps ?;Changer email sous 3 mois
🟡 IMPORTANT;hello@news.ottokit.com;1;2026-02-09;Invitation: SureContact Affiliate Program @ Tue, Feb 9, 2026 | 20% Recurring Com;Changer email sous 3 mois
⚪ OPTIONNEL;noreply@courrier.lhh.fr;14;2026-04-09;Bienvenue sur votre plateforme dédiée à votre projet professionnel !;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;zynab.hamdi@lhh.com;10;2026-04-08;RE: Confirmation du lieu de rendez-vous du 9 avril;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;contact@webwizards.dev;8;2026-03-29;Re: Sponsored Plugin Review on SchoolsWP;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;nathalie.wolsdorfer@katoennatie.com;6;2026-03-27;Avance : indemnité de licenciement Logifare;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;noreply@silae.fr;6;2026-02-20;Fiche Résumé départ volontaire PSE Logifare Mise à jour;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;keziah@palmsquare.fr;5;2026-04-08;Voici un extrait de notre formation sur WordPress;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;baptiste@rc2i.net;4;2026-04-10;RE: J'ai créé SEOpilote.fr — je vous offre 24 mois pour avoir votre avis;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;signers@esignlive.eu;4;2026-04-09;Signature finalisée - les documents de la transaction « LOGIFARE Charte Créa MIC;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;aitijya@getghostwriting-ai.com;3;2026-04-01;Re: Michaël thought of you;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;jordy@designforwp.com;3;2026-03-19;Re: Quick check-in: how’s LinkCentral working for you?;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;callcenter.tf@groupepvcp.com;3;2026-02-15;RE: Votre réservation 1002108984;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;noreply@seopilote.fr;2;2026-04-10;Votre essai gratuit SEO Pilote est actif !;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;communication@getwpfunnels.com;2;2026-04-03;🐰 A Little Easter Surprise for 3 Days! 🎁;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;emmanuelle.pinto@katoennatie.com;2;2026-02-24;RE: Formulaire DV;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;hello@plugintracker.io;2;2026-02-17;Re: InfluenceWP / PluginTracker Giveaway Winner!;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;centerparcs@notifications.groupe-pvcp.com;2;2026-02-09; Confirmation de votre réservation n° 1002108984 ;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;farzeen.vohra@group.one;2;2026-01-28;Re: Hey Michael, we'd love to work together!;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;hello@chatseo.app;1;2026-04-13;Rapport SEO Hebdomadaire - schoolswp.com;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;support@netim.com;1;2026-04-10;"[maekihl.fr] Notification de transfert
";Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;augustin@translate-weglot.com;1;2026-04-10;there x Augustin Prot - website translation;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;support@seopilote.fr;1;2026-04-10;J'ai créé SEOpilote.fr — je vous offre 24 mois pour avoir votre avis;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;olivier@majolistudio.com;1;2026-04-10;Modernisation du site web vanessapivec.fr;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;support@cartflows.com;1;2026-04-10;Your CartFlows order is now complete;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;hello@inshape-nutrition.com;1;2026-04-07;RE: Ta commande Michaël... 😔;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;cody@codyburch.com;1;2026-04-04;[Email #1 of 4] The laidback online business model (explanation);Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;contact@horusium.com;1;2026-03-31;Partenariat affiliation - Outil SEO - Gagnez 30 % de commission avec Horusium.co;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;jacqueline-at-wpmet@xpeedstudio.thrivedesk.email;1;2026-03-29;Re: Re: Quick Question from the Wpmet Affiliate Team!;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;contact@kodezen.com;1;2026-02-25;🎉 You Won Up to 30% OFF! Your Exclusive Coupon Is Inside;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;jacqueline@wpmet.com;1;2026-02-23;Quick Question from the Wpmet Affiliate Team!;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;hello@influencewp.com;1;2026-02-16;InfluenceWP / PluginTracker Giveaway Winner!;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;laura.benaoudia@interfaces-fr.com;1;2026-02-11;Invitation – Journée Portes Ouvertes le 25 février;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;estelle.recchia@icn-artem.com;1;2026-02-09;ICN Diriger une organisation responsable;Laisser (forward fait le job) ou fermer compte
⚪ OPTIONNEL;help@paddle.com;1;2026-02-06;Your B2BKing Startup - Lifetime order;Laisser (forward fait le job) ou fermer compte
