ID;Titre;Nom fichier;Type MIME;Largeur;Hauteur;Poids (Ko);Date upload;Alt;Legende;Description (extrait);Post parent ID;URL;Featured image de (post IDs);Utilise dans contenu (post IDs);Statut usage;Score Alt;Score Titre;Score Legende;Score Description;Score SEO /100;Verdict SEO;Action recommandee
2324308;FastPixel avis 2026 – plugin cloud pour booster WordPress;fastpixel-plugin-wordpress-performance-cloud.jpg;image/jpeg;1920;1080;249;2026-03-30;FastPixel avis 2026, visuel schoolsWP du plugin cloud WordPress pour accélérer WordPress, PageSpeed Google et Core Web Vitals;FastPixel avis 2026 – plugin cloud pour booster WordPress;Cette image illustre l’article schoolsWP consacré à FastPixel, un plugin cloud WordPress orienté performance. Le visuel met en avant le positionnement;2290195;https://schoolswp.com/wp-content/uploads/2026/04/fastpixel-plugin-wordpress-performance-cloud.jpg;2290195;;Actif (featured image);30;25;25;20;100;Excellent;OK
2312892;Netim 2026 : page d’accueil du registrar | schoolsWP;capture-netim-registrar-noms-de-domaine-email.jpg;image/jpeg;1024;469;60;2026-03-29;Capture d’écran de la page d’accueil Netim 2026, registrar français pour noms de domaine, DNS et hébergement e-mail sur schoolsWP.;Capture d’écran de la page d’accueil Netim utilisée dans un article schoolsWP. Elle montre le positionnement du service autour des noms de domaine, du DNS et de l’hébergement e-mail.;Cette image illustre l’interface d’accueil de Netim dans un contenu publié sur schoolsWP. Elle sert à contextualiser l’avis et à montrer le cœur de l’;2289949;https://schoolswp.com/wp-content/uploads/2026/04/capture-netim-registrar-noms-de-domaine-email.jpg;;;Attache mais non utilise;30;25;25;20;100;Excellent;OK
2312004;Logo officiel Netim | registrar français | schoolsWP;logo-officiel-netim-registrar-francais.svg;image/svg+xml;967;244;2;2026-03-29;Logo officiel Netim, registrar français spécialisé dans les noms de domaine, utilisé dans un article schoolsWP sur les registrars.;Logo officiel de Netim, registrar français spécialisé dans les noms de domaine. Utilisé ici dans le cadre éditorial d’un article schoolsWP.;Cette image correspond au logo officiel de Netim. Elle est utilisée sur schoolsWP pour illustrer un contenu consacré à ce registrar français et à ses ;2289949;https://schoolswp.com/wp-content/uploads/2026/04/logo-officiel-netim-registrar-francais.svg;;;Attache mais non utilise;30;25;25;20;100;Excellent;OK
2310818;Visuel schoolsWP de l’avis Netim 2026, registrar français fiable et expert pour acheter et gérer des noms de domaine.;avis-netim-registrar-francais-noms-domaine.jpg;image/jpeg;1920;1080;250;2026-03-29;Avis Netim 2026 : registrar français fiable | schoolsWP;Visuel schoolsWP de l’avis Netim 2026, registrar français fiable et expert pour acheter et gérer des noms de domaine.;Ce visuel de couverture a été créé pour l’article schoolsWP consacré à Netim. Il met en avant le positionnement éditorial “avis Netim” avec un angle c;2289949;https://schoolswp.com/wp-content/uploads/2026/04/avis-netim-registrar-francais-noms-domaine.jpg;2289949;;Actif (featured image);30;25;25;20;100;Excellent;OK
2290231;Skoatch avis 2026 – test outil IA SEO WordPress;skoatch-avis-outil-ia-seo-wordpress.png;image/png;764;304;136;2026-03-25;Skoatch avis 2026 – test outil IA SEO WordPress;Skoatch est un outil IA pensé pour la rédaction SEO et la publication sur WordPress. Ce visuel accompagne notre avis schoolsWP sur ses fonctionnalités, son usage et son intérêt éditorial.;Cette image illustre l’outil Skoatch dans le cadre d’un article publié sur schoolsWP. Le contenu traite de la rédaction IA orientée SEO, de l’automati;57563;https://schoolswp.com/wp-content/uploads/2025/01/skoatch-avis-outil-ia-seo-wordpress.png;;57563, 2290145;Actif (dans contenu);30;25;25;20;100;Excellent;OK
2290225;Wisewand vs Skoatch : comparatif IA SEO schoolsWP 2026;wisewand-vs-skoatch-outil-ia-seo-wordpress.jpg;image/jpeg;1920;1080;274;2026-03-25;Wisewand vs Skoatch, visuel schoolsWP comparant deux outils IA SEO WordPress pour automatiser le contenu et viser Google;Comparatif schoolsWP entre Wisewand et Skoatch pour choisir un outil IA SEO adapté à WordPress. Un visuel pensé pour opposer précision SEO et automatisation éditoriale.;Cette image illustre le comparatif schoolsWP entre Wisewand et Skoatch. Elle accompagne un article pédagogique dédié aux outils IA SEO pour WordPress,;2290145;https://schoolswp.com/wp-content/uploads/2026/03/wisewand-vs-skoatch-outil-ia-seo-wordpress.jpg;2290145;;Actif (featured image);30;25;25;20;100;Excellent;OK
2290218;Bien choisir son nom de domaine en 2026 – guide schoolsWP;choisir-nom-de-domaine-wordpress-branding.jpg;image/jpeg;1920;1080;275;2026-03-24;Visuel schoolsWP bien choisir son nom de domaine pour réussir en 2026, guide WordPress sur identité numérique et SEO pro.;"Visuel de couverture schoolsWP pour notre guide 2026 sur le choix d’un nom de domaine.
Un bon domaine renforce la mémorisation, le branding et le SEO.";Cette image accompagne un article schoolsWP dédié au choix d’un nom de domaine en 2026. Le visuel met en avant un titre clair, une identité graphique ;2290194;https://schoolswp.com/wp-content/uploads/2026/03/choisir-nom-de-domaine-wordpress-branding.jpg;2290194;;Actif (featured image);30;25;25;20;100;Excellent;OK
2290209;Top 10 BookingPress Alternatives for Bookings | schoolsWP;bookingpress-alternatives-plugin-wordpress-bookings.jpg;image/jpeg;1920;1080;283;2026-03-24;Top 10 BookingPress alternatives image by schoolsWP comparing WordPress booking plugins for appointments and team bookings;schoolsWP compares 10 BookingPress alternatives to help you choose a WordPress booking plugin with better sync and pricing. A clear visual for appointment scheduling and team bookings.;Cover visual for a schoolsWP comparison article on BookingPress alternatives. It highlights WordPress booking plugins for appointments, team schedulin;2290206;https://schoolswp.com/wp-content/uploads/2026/03/bookingpress-alternatives-plugin-wordpress-bookings.jpg;2290206;;Actif (featured image);30;25;25;20;100;Excellent;OK
2290205;latepoint-wordpress-appointment-booking-plugin.svg;latepoint-wordpress-appointment-booking-plugin.svg;image/svg+xml;663;286;5;2026-03-23;Official LatePoint logo, WordPress plugin;LatePoint logo — WordPress plugin featured on schoolsWP.;"This image shows the official logo of LatePoint. It illustrates the schoolsWP article ""Top 10 BookingPress Alternatives for Your Bookings"".";0;https://schoolswp.com/wp-content/uploads/2026/03/latepoint-wordpress-appointment-booking-plugin.svg;;2290206;Actif (dans contenu);30;0;25;20;75;Bon;OK
2290204;Amelia-WP-logo-michaelkihl.fr.png;Amelia-WP-logo-michaelkihl.fr.png;image/png;300;88;5;2026-03-23;;;;0;https://schoolswp.com/wp-content/uploads/2021/05/Amelia-WP-logo-michaelkihl.fr.png;;;ORPHELIN;0;0;0;0;0;Critique;SUPPRIMER
