Plugin,Category,Tool,Title,ReadOnly,Required
FluentCRM,contact,fluentcrm_contact_list,List Contacts,Yes,
FluentCRM,contact,fluentcrm_contact_get,Get Contact,Yes,id
FluentCRM,contact,fluentcrm_contact_get_by_email,Get Contact by Email,Yes,email
FluentCRM,contact,fluentcrm_contact_create,Create Contact,No,email
FluentCRM,contact,fluentcrm_contact_update,Update Contact,No,id
FluentCRM,contact,fluentcrm_contact_delete,Delete Contact,No,id
FluentCRM,contact,fluentcrm_contact_add_tags,Add Tags to Contact,No,"id, tag_ids"
FluentCRM,contact,fluentcrm_contact_remove_tags,Remove Tags from Contact,No,"id, tag_ids"
FluentCRM,tag,fluentcrm_tag_list,List Tags,Yes,
FluentCRM,tag,fluentcrm_tag_create,Create Tag,No,title
FluentCRM,tag,fluentcrm_tag_update,Update Tag,No,id
FluentCRM,tag,fluentcrm_tag_delete,Delete Tag,No,id
FluentCRM,tag,fluentcrm_tag_attach_to_contact,Attach Tag to Contact,No,"tag_id, subscriber_ids"
FluentCRM,list,fluentcrm_list_list,List Lists,Yes,
FluentCRM,list,fluentcrm_list_create,Create List,No,title
FluentCRM,list,fluentcrm_list_update,Update List,No,id
FluentCRM,list,fluentcrm_list_delete,Delete List,No,id
FluentCRM,list,fluentcrm_list_attach_contact,Add Contact to List,No,"list_id, subscriber_ids"
FluentCRM,campaign,fluentcrm_campaign_list,List Campaigns,Yes,
FluentCRM,campaign,fluentcrm_campaign_get,Get Campaign,Yes,id
FluentCRM,campaign,fluentcrm_campaign_create,Create Campaign,No,title
FluentCRM,campaign,fluentcrm_campaign_schedule,Schedule Campaign,No,id
FluentCRM,campaign,fluentcrm_campaign_pause,Pause Campaign,No,id
FluentCRM,campaign,fluentcrm_campaign_resume,Resume Campaign,No,id
FluentCRM,template,fluentcrm_template_list,List Templates,Yes,
FluentCRM,template,fluentcrm_template_get,Get Template,Yes,id
FluentCRM,template,fluentcrm_template_create,Create Template,No,"post_title, post_content"
FluentCRM,sequence,fluentcrm_sequence_list,List Sequences,Yes,
FluentCRM,sequence,fluentcrm_sequence_get,Get Sequence,Yes,id
FluentCRM,sequence,fluentcrm_sequence_add_subscriber,Add Subscriber to Sequence,No,"sequence_id, subscriber_ids"
FluentCRM,sequence,fluentcrm_sequence_remove_subscriber,Remove Subscriber from Sequence,No,"sequence_id, subscriber_ids"
FluentCRM,funnel,fluentcrm_funnel_list,List Automations/Funnels,Yes,
FluentCRM,funnel,fluentcrm_funnel_get,Get Automation/Funnel,Yes,id
FluentCRM,funnel,fluentcrm_funnel_create,Create Automation/Funnel,No,title
FluentCRM,funnel,fluentcrm_funnel_trigger,Trigger Funnel for Contact,No,"funnel_id, email"
FluentCRM,report,fluentcrm_report_dashboard,Get Dashboard Stats,Yes,
FluentCRM,report,fluentcrm_report_subscribers_growth,Get Subscribers Growth,Yes,
FluentCRM,report,fluentcrm_report_campaign_stats,Get Campaign Stats,Yes,
FluentCRM,webhook,fluentcrm_webhook_list,List Webhooks,Yes,
FluentCRM,webhook,fluentcrm_webhook_create,Create Webhook,No,name
Fluent Support,ticket,fluentsupport_ticket_list,List Tickets,Yes,
