id,name,path,depth,direct_children,flag
10LzpBzsS7OEFCIarkQzyTillZb4rXH_U,04_CLIENTS,04_CLIENTS,0,0,OK
1j7qtlbP9ysT1ZGMKvJJwusSawViO_2qZ,08_PERSONNEL,08_PERSONNEL,0,3,OK
1RK5QOJg5e1tAU98LOt5unYim_Ei97wBi,06_MONETISATION,06_MONETISATION,0,0,OK
1HTsUcHKYg4mdBAaDeH5lGc4Wu4oNPrTi,05_CONTENUS,05_CONTENUS,0,0,OK
1HMGg1z36vhSBnDvGLMcFsYt6iFxYlx_7,03_RESSOURCES,03_RESSOURCES,0,0,OK
1-lnemHV-bUc5d-CFYuWkgcl8B7emi1ZF,02_PROJETS,02_PROJETS,0,6,OK
1DQtaBpjl9ffY5syy4NFxnJDku4FdvF8Z,99_ARCHIVES,99_ARCHIVES,0,0,OK
1CVEHeKlVJl4EzJtwKKVbbeO5Es-gWAnU,01_ADMIN,01_ADMIN,0,7,OK
12BeOpPH3YO2fbrTcLjoiVAs4L_rH0Qq-,00_START-HERE,00_START-HERE,0,4,OK
1gRxaXkrlnV9q-dxAk0ZQlb7Hut0sq-if,03_Documents-Famille,08_PERSONNEL/03_Documents-Famille,1,0,OK
1fTf3arzbB1B5jPOJdowl-c6HrYuyCGsx,02_Photos,08_PERSONNEL/02_Photos,1,0,OK
1FTXIcCPXiZITZtnvKJyIkGGJeiGBkJ5k,01_Medical,08_PERSONNEL/01_Medical,1,3,OK
1D10mjPHE_PEab5ajRUq7spoY4gleTSEY,schoolsWP,02_PROJETS/schoolsWP,1,6,OK
1m81_uoDzU9IKoWTVEFbM3-4yj1EtUeUc,Vanessa PIVEC,02_PROJETS/Vanessa PIVEC,1,0,OK
1Iw6htjboAuciMF1GU6z-YgPQkMFQw327,Petit Papier Magique,02_PROJETS/Petit Papier Magique,1,0,OK
1Y00fAlW_iXgh5DtCFV655N7mgG3xH2X6,Mon Mini Électro,02_PROJETS/Mon Mini Électro,1,1,OK
