id,name,path,mime_type,issue_type,severity,description
10LzpBzsS7OEFCIarkQzyTillZb4rXH_U,04_CLIENTS,04_CLIENTS,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1cNU-44v7oE_NbLdqCf8JZBodyfTY7br-9UsEqY0CpCA,2021-12-09 - Flux RSS Plugin Wordpress,2021-12-09 - Flux RSS Plugin Wordpress,application/vnd.google-apps.spreadsheet,mixed_separators,medium,"Melange espaces, tirets et underscores"
1j7qtlbP9ysT1ZGMKvJJwusSawViO_2qZ,08_PERSONNEL,08_PERSONNEL,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1RK5QOJg5e1tAU98LOt5unYim_Ei97wBi,06_MONETISATION,06_MONETISATION,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1HTsUcHKYg4mdBAaDeH5lGc4Wu4oNPrTi,05_CONTENUS,05_CONTENUS,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1HMGg1z36vhSBnDvGLMcFsYt6iFxYlx_7,03_RESSOURCES,03_RESSOURCES,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1-lnemHV-bUc5d-CFYuWkgcl8B7emi1ZF,02_PROJETS,02_PROJETS,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1DQtaBpjl9ffY5syy4NFxnJDku4FdvF8Z,99_ARCHIVES,99_ARCHIVES,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1CVEHeKlVJl4EzJtwKKVbbeO5Es-gWAnU,01_ADMIN,01_ADMIN,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
12BeOpPH3YO2fbrTcLjoiVAs4L_rH0Qq-,00_START-HERE,00_START-HERE,application/vnd.google-apps.folder,all_caps,low,Nom entierement en majuscules
1fz-gPJIyRTK_YQt3mHJw6FXh1EBd7eLNapJcTsmkH7U,README - schoolsWP,README - schoolsWP,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1HklljfJkViTg483iA-VOh5GucrK-_bjfWsl0VxF5XbQ,[Staging] WordPress > Google Sheets: Sync & Classify Blog Posts,[Staging] WordPress > Google Sheets: Sync & Classify Blog Posts,application/vnd.google-apps.spreadsheet,special_chars,high,Contient des caracteres speciaux problematiques
1JbBAd8PGRITym2PAAR36saRE3gw7jOFoj3GSBqPYxx8,152. Avis LWS 2026 : test complet de cet hébergeur web français,152. Avis LWS 2026 : test complet de cet hébergeur web français,application/vnd.google-apps.document,accents,medium,Contient des accents
1JbBAd8PGRITym2PAAR36saRE3gw7jOFoj3GSBqPYxx8,152. Avis LWS 2026 : test complet de cet hébergeur web français,152. Avis LWS 2026 : test complet de cet hébergeur web français,application/vnd.google-apps.document,special_chars,high,Contient des caracteres speciaux problematiques
1F_iMDnDMnqlGd74CEzuDaMViTYdiVjE259Xh8yDDnII,Prompts Gemini pour créer un business à 3000€ par mois,Prompts Gemini pour créer un business à 3000€ par mois,application/vnd.google-apps.document,accents,medium,Contient des accents
1UN4eMO5ntVwcO9V2ETANEO5QjRvWI6uiKwYX410RV8M,schoolsWP - Index Global,schoolsWP - Index Global,application/vnd.google-apps.spreadsheet,mixed_separators,medium,"Melange espaces, tirets et underscores"
1IMyaQNX2uY-9rw7Y9gF0IWCL9DF6LqneSAmdGuOn72Q,2023-11-10 - Plugins SEO WordPress Seopress vs Yoast - Article - FR,2023-11-10 - Plugins SEO WordPress Seopress vs Yoast - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
12dzjj_HBix6fuSLleemZ7WLWOTsEzy33h_PwVTneQjQ,2023-11-10 - Dropshipping Shopify vs WordPress - Article - FR,2023-11-10 - Dropshipping Shopify vs WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1zgtALSVJYnSt-Hx2dvHNeSWkRyvbmlEYCWWrR_u4Ltw,2024-06-15 - WordPress.com vs WordPress - Article - FR,2024-06-15 - WordPress.com vs WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1fshPCVHi8FiFv7v9cioH9T_u4EvDXhP9nYkeV-Q3MCY,2024-07-11 - Divi Builder vs Elementor Pro Le Duel des Extensions WordPress - Article - FR,2024-07-11 - Divi Builder vs Elementor Pro Le Duel des Extensions WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1FRetb21ZsvIn-QJLFTqoHDWhLXwk3-F5lkRh1fdVTLw,2024-08-19 - ElementsKit pour Elementor addons tout-en-un et widgets essentiels - Article - FR,2024-08-19 - ElementsKit pour Elementor addons tout-en-un et widgets essentiels - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1-gHUHkzxWN7kCSDya7HhtEGdM-6l1Lvp3qrasuG8JVk,2024-10-21 - Local WP Choisir entre Local by Flywheel ou Xampp pour WordPress - Article - FR,2024-10-21 - Local WP Choisir entre Local by Flywheel ou Xampp pour WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1iV3dsKcpEpn0Qu0KrE90GDJ8gJ7xQKB13s2fbRZKI9M,2025-01-11 - Traduire Sans Migraine Test du Plugin WordPress - Article - FR,2025-01-11 - Traduire Sans Migraine Test du Plugin WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1WIG76ZYL0geh4ngCklq572GyqeM4pQ5hveUhst1Qz0Y,2025-01-09 - Qu’est-ce que Gutenberg dans WordPress - Article - FR,2025-01-09 - Qu’est-ce que Gutenberg dans WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1O5Gv1T_4-ufDVBrJBzCV7j3kI8irxku-tGMd2aBELgM,2024-12-11 - WP Marmite Pay simplifie vos paiements sur WordPress - Article - FR,2024-12-11 - WP Marmite Pay simplifie vos paiements sur WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
132zsZhii2B57Iq9xnA5a2XpTDlr4r0qzm_kYDTmVQvg,"2024-05-13 - InstaWP, avis comment construire un site WordPress en un clic - Article - FR","2024-05-13 - InstaWP, avis comment construire un site WordPress en un clic - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1leK79ogKrBVfYS4flJF8lowesJS6YXRwCTLta6ELVp4,2024-05-07 - ClickWhale vs Pretty Links Quel est le meilleur raccourcisseur et gestionnair... - Article - FR,2024-05-07 - ClickWhale vs Pretty Links Quel est le meilleur raccourcisseur et gestionnair... - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1xujLu7ZYUGI3PLAu8Xze565xhbP5y-VXBxbXC8HM-SE,"2024-08-29 - SEOKEY, le plugin SEO essentiel pour WordPress - Article - FR","2024-08-29 - SEOKEY, le plugin SEO essentiel pour WordPress - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
13YmG6O1d-ABXr8m807xc4EJxnhOTmHo4ayPJr48UY9Y,2024-08-15 - Plugin Traduction Wordpress Top 10 pour Globaliser votre Site - Article - FR,2024-08-15 - Plugin Traduction Wordpress Top 10 pour Globaliser votre Site - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1scigfUReq_aOkzcqJkTgMF-B05KYaJv3mSUMxY_lWjQ,"2023-11-20 - Fluent Forms, le plugin WP pour vos formulaires - Article - FR","2023-11-20 - Fluent Forms, le plugin WP pour vos formulaires - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
