id,current_name,new_name,path,severity,issues,mime_type
1gMURVSvaTfRAfJ36vLzhyeeeb3G7w10Z,2025-02-16 – Performance-efficiency-ai-editing-skoatch – Ressource.jpg,2025-02-16 - Performance-efficiency-ai-editing-skoatch.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-02-16 – Performance-efficiency-ai-editing-skoatch – Ressource.jpg,low,long_dash,image/jpeg
1fsmcCsD0di1D66qc5KCiPF9sToeOH9lZ,2025-02-15 – Academy-lms – Ressource.webp,2025-02-15 - Academy-lms.webp,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-02-15 – Academy-lms – Ressource.webp,low,long_dash,image/webp
1fXYOOCWrMNRLIS3T0RUDtXBb-zvJyHYv,2025-02-13 – Integrations-add-ons-lms-fonctionnalites-premium – Ressource.jpg,2025-02-13 - Integrations-add-ons-lms-fonctionnalites-premium.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-02-13 – Integrations-add-ons-lms-fonctionnalites-premium – Ressource.jpg,low,long_dash,image/jpeg
1dxFarn3nFrHetLPqJzhDb3Cd6mgr2zvX,2025-02-11 – Academy-lms-interface-choix-instructeur-marketplace – Ressource.jpg,2025-02-11 - Academy-lms-interface-choix-instructeur-marketplace.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-02-11 – Academy-lms-interface-choix-instructeur-marketplace – Ressource.jpg,low,long_dash,image/jpeg
1dx2WzP-ZrqBSf4hF1Wc2u5GcEPrt3zCm,2025-02-11 – Academy-lms-2-0-welcome-page-e-learning – Ressource.jpg,2025-02-11 - Academy-lms-2-0-welcome-page-e-learning.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-02-11 – Academy-lms-2-0-welcome-page-e-learning – Ressource.jpg,low,long_dash,image/jpeg
1dt3OSRw-kKT245TEBOd2aqWxpnI7zYR_,2025-02-10 – Academy-lms-comparatif-prix-lifetime – Ressource.jpg,2025-02-10 - Academy-lms-comparatif-prix-lifetime.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-02-10 – Academy-lms-comparatif-prix-lifetime – Ressource.jpg,low,long_dash,image/jpeg
1diPFXzatNCEae1Ap5eYId0j84f9ps_l-,2025-02-10 – Academy-lms-comparatif-plans-prix – Ressource.jpg,2025-02-10 - Academy-lms-comparatif-plans-prix.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-02-10 – Academy-lms-comparatif-plans-prix – Ressource.jpg,low,long_dash,image/jpeg
1AxQ_81ZgAOXEhtI1USU4vBmE42k77ndH,2025-12-29 – 20251229 135310 – Ressource.jpg,2025-12-29 - 20251229 135310.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-12-29 – 20251229 135310 – Ressource.jpg,low,long_dash,image/jpeg
18I080orMYxVPp_R8JQxesuXvcdZAsslm,2025-12-29 – 20251229 135238 – Ressource.jpg,2025-12-29 - 20251229 135238.jpg,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-12-29 – 20251229 135238 – Ressource.jpg,low,long_dash,image/jpeg
1tgAIK4jy10gqzcBwQexOVZ7MfBVz9Kub,2025-03-28 – Ad Banner 2 Vertical 400x600 px – Ressource.png,2025-03-28 - Ad Banner 2 Vertical 400x600 px.png,01_Projets/schoolsWP/04_ASSETS/04_Illustrations/2025-03-28 – Ad Banner 2 Vertical 400x600 px – Ressource.png,low,long_dash,image/png
11qWJWCnbxmSza7dKF_Swd7ysvf6FIGAM,2025-05-10 – Wp-rocket-boostez-vitesse-seo-wordpress – Thumbnail Pinterest.jpg,2025-05-10 - Wp-rocket-boostez-vitesse-seo-wordpress - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-05-10 – Wp-rocket-boostez-vitesse-seo-wordpress – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
11reXIBSKEcgi5Nb3-oRYNweOq6FFVKGX,2025-05-10 – Wp-rocket-plugin-cache-wordpress-rapide-seo – Thumbnail Pinterest.jpg,2025-05-10 - Wp-rocket-plugin-cache-wordpress-rapide-seo - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-05-10 – Wp-rocket-plugin-cache-wordpress-rapide-seo – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1ns1GM__wmVHRNQpjO6IIu4nAC8QFnOFf,2025-03-09 – Amelia-wp-plugin-reservation-wordpress – Thumbnail Pinterest.jpg,2025-03-09 - Amelia-wp-plugin-reservation-wordpress - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-03-09 – Amelia-wp-plugin-reservation-wordpress – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
