url,type_page,langue,cluster,sous_cluster,role_SEO,role_business,priorite,observations,notes
https://schoolswp.com/,hub,fr,Divers,,pilier,lead,P1,Homepage — page racine du site,
https://schoolswp.com/en/home/,hub,en,Divers,,pilier,lead,P1,Homepage EN,
https://schoolswp.com/de/startseite/,hub,de,Divers,,pilier,lead,P1,Homepage DE,
https://schoolswp.com/blog/,hub,fr,Divers,,pilier,lead,P2,Archive blog principal FR,
https://schoolswp.com/en/blog-en/,hub,en,Divers,,pilier,lead,P2,Archive blog EN,
https://schoolswp.com/de/blog-de/,hub,de,Divers,,pilier,lead,P2,Archive blog DE,
https://schoolswp.com/seo-wordpress/,hub,fr,SEO,,pilier,lead,P1,Hub cluster SEO,
https://schoolswp.com/hebergement-wordpress/,hub,fr,Hebergement,,pilier,affilie,P1,Hub cluster Hébergement,
https://schoolswp.com/formation-en-ligne-lms/,hub,fr,LMS,,pilier,affilie,P1,Hub cluster LMS,
https://schoolswp.com/performance-wordpress/,hub,fr,Performance,,pilier,lead,P1,Hub cluster Performance,
https://schoolswp.com/monetisation-wordpress/,hub,fr,Affiliation,,pilier,affilie,P1,Hub cluster Monétisation,
https://schoolswp.com/automatisations-wordpress/,hub,fr,Automatisation,,pilier,lead,P1,Hub cluster Automatisation,
https://schoolswp.com/espaces-membres-wordpress/,hub,fr,Plugins,Membership,pilier,affilie,P1,Hub cluster Espaces membres,
https://schoolswp.com/ecommerce-wordpress/,hub,fr,Plugins,Ecommerce,pilier,affilie,P1,Hub cluster Ecommerce,
https://schoolswp.com/formulaires-crm/,hub,fr,Plugins,CRM,pilier,lead,P2,Hub cluster Formulaires CRM,
https://schoolswp.com/design-wordpress/,hub,fr,Plugins,Design,pilier,lead,P2,Hub cluster Design,
https://schoolswp.com/guides-wordpress/,hub,fr,Divers,,pilier,lead,P1,Hub guides WordPress — volume probable élevé,
https://schoolswp.com/tutoriels-wordpress-video/,hub,fr,Divers,,pilier,lead,P2,Hub tutoriels vidéo,
https://schoolswp.com/traduction-wordpress/,hub,fr,Divers,Multilingue,pilier,lead,P2,Hub cluster Traduction,
https://schoolswp.com/reservations-wordpress/,hub,fr,Plugins,Réservation,pilier,lead,P2,Hub cluster Réservations,
https://schoolswp.com/maintenance-securite-wordpress/,hub,fr,Plugins,Maintenance,pilier,lead,P2,Hub cluster Maintenance,
https://schoolswp.com/outils-test-wordpress/,hub,fr,Divers,Outils,pilier,lead,P2,Hub cluster Outils test,
https://schoolswp.com/ia-wordpress/,hub,fr,Divers,IA,pilier,lead,P2,Hub cluster IA WordPress,
